pickup_location,delivery_location,pickup_datetime,weight,service_type,synthetic_delivery_time_min,route_distance_km_synthetic,model_prediction_min
Pescara,Sassari,2026-07-10 18:46:00,1.71,Premium,605.47,507.6,47.61
Ancona,Napoli,2026-06-30 13:22:00,3.26,Express,380.0,314.1,50.5
Genova,Ancona,2026-09-07 16:43:00,4.1,Express,456.43,377.4,50.67
Bologna,Bari,2026-04-10 20:28:00,2.27,Premium,679.78,586.2,47.14
Ancona,Milano,2026-07-25 07:40:00,5.4,Express,471.11,399.5,48.53
Trapani,Perugia,2026-03-04 08:32:00,3.33,Express,665.73,566.1,51.18
Bari,Ancona,2026-09-13 19:52:00,5.21,Express,463.95,391.1,46.4
Ancona,Bologna,2026-01-23 14:57:00,3.44,Premium,233.72,199.3,48.82
Trapani,Roma,2026-07-24 15:39:00,3.9,Premium,510.39,431.4,44.38
Cagliari,Salerno,2026-01-28 11:46:00,1.93,Premium,604.28,508.1,47.94
Sassari,Ancona,2026-08-29 18:34:00,1.93,Express,611.25,519.8,44.66
Ancona,Palermo,2026-09-19 16:02:00,7.07,Express,692.62,611.7,45.47
Cagliari,Bari,2026-08-12 10:36:00,4.68,Premium,809.08,691.3,50.81
Bologna,Roma,2026-08-04 16:04:00,1.47,Premium,358.72,302.9,42.94
Roma,Sassari,2026-05-11 07:03:00,3.4,Express,393.29,353.8,44.94
Pescara,Torino,2026-03-08 10:22:00,0.57,Premium,695.88,598.4,51.45
Napoli,Perugia,2026-09-27 09:51:00,2.01,Premium,353.84,295.4,56.32
Catania,Pescara,2026-05-25 18:00:00,5.88,Express,671.84,555.5,45.55
Bari,Trapani,2026-08-11 17:17:00,2.75,Express,606.27,506.4,45.22
Perugia,Pescara,2026-07-14 08:16:00,3.26,Express,214.14,165.2,42.61
Catania,Milano,2026-07-11 19:41:00,0.36,Premium,1160.18,1010.7,48.92
Perugia,Salerno,2026-04-07 18:27:00,2.28,Express,427.17,334.4,42.74
Reggio Calabria,Perugia,2026-04-27 13:05:00,3.8,Express,720.84,620.2,49.9
Sassari,Lecce,2026-05-01 09:58:00,4.16,Express,939.69,812.8,43.3
Napoli,Palermo,2026-06-14 12:53:00,5.88,Premium,405.98,313.4,49.79
Ancona,Torino,2026-07-16 15:15:00,2.59,Premium,573.29,490.7,51.76
Firenze,Ancona,2026-02-24 15:49:00,2.67,Premium,236.44,183.3,49.93
Torino,Ancona,2026-03-04 11:51:00,1.18,Express,553.63,490.7,48.41
Palermo,Bari,2026-01-14 08:25:00,2.6,Express,514.03,449.0,44.1
Pescara,Perugia,2026-05-24 15:32:00,1.24,Express,195.51,165.2,51.68
Napoli,Roma,2026-07-02 16:52:00,0.82,Express,226.79,188.3,48.69
Cagliari,Catania,2026-02-27 10:44:00,1.4,Express,636.95,554.0,47.26
Torino,Cagliari,2026-07-14 15:57:00,8.63,Premium,756.25,661.1,47.12
Salerno,Torino,2026-01-01 14:57:00,2.48,Express,865.46,755.2,48.89
Verona,Salerno,2026-08-25 14:01:00,3.5,Express,692.67,611.8,47.02
Torino,Pescara,2026-07-08 07:06:00,2.09,Express,690.07,598.4,45.61
Firenze,Napoli,2026-07-06 11:18:00,0.86,Premium,487.76,408.7,51.81
Firenze,Milano,2026-07-13 12:14:00,5.78,Express,297.14,248.8,49.28
Catania,Ancona,2026-04-08 18:40:00,0.66,Express,788.45,692.2,48.52
Trapani,Cagliari,2026-09-29 18:34:00,2.03,Express,408.34,325.7,46.49
Perugia,Torino,2026-07-23 19:13:00,2.89,Express,523.23,433.9,47.97
Napoli,Genova,2026-02-19 13:28:00,3.53,Express,677.59,589.3,54.38
Verona,Roma,2026-09-09 11:34:00,1.8,Express,491.07,411.9,45.83
Pescara,Roma,2026-07-21 13:59:00,0.83,Premium,196.24,154.0,44.92
Trapani,Genova,2026-03-26 18:05:00,1.71,Express,881.94,771.8,49.82
Verona,Catania,2026-09-16 15:42:00,1.78,Express,1058.97,945.3,46.84
Bari,Reggio Calabria,2026-03-09 15:25:00,1.75,Express,407.13,350.6,51.13
Lecce,Bari,2026-06-25 13:04:00,5.92,Express,187.07,139.0,46.59
Roma,Napoli,2026-07-02 16:45:00,1.28,Express,240.99,188.3,48.04
Sassari,Torino,2026-09-20 19:08:00,3.7,Express,572.73,487.8,47.18
Bologna,Roma,2026-06-05 16:21:00,3.35,Premium,376.77,302.9,42.86
Genova,Salerno,2026-09-29 12:38:00,5.88,Premium,732.88,632.9,48.38
Palermo,Bari,2026-03-19 18:45:00,2.73,Express,523.15,449.0,44.1
Salerno,Cagliari,2026-08-07 20:11:00,5.22,Express,575.36,508.1,44.75
Bologna,Firenze,2026-03-08 18:09:00,2.66,Premium,120.24,80.4,45.21
Pescara,Firenze,2026-09-30 19:16:00,4.07,Premium,340.58,280.9,47.11
Firenze,Cagliari,2026-07-28 10:43:00,1.05,Express,633.32,536.1,48.1
Catania,Verona,2026-06-20 12:53:00,0.47,Express,1068.41,945.3,45.54
Palermo,Cagliari,2026-01-19 10:29:00,3.91,Express,451.85,387.8,42.3
Milano,Roma,2026-05-16 12:07:00,4.06,Premium,573.23,476.9,43.57
Pescara,Perugia,2026-02-09 17:16:00,4.18,Express,204.77,165.2,51.56
Genova,Pescara,2026-09-08 16:28:00,2.08,Express,549.05,478.2,47.99
Sassari,Catania,2026-04-14 07:02:00,8.51,Express,790.09,667.2,41.47
Bari,Genova,2026-08-15 17:34:00,2.17,Express,853.25,743.8,48.4
Torino,Pescara,2026-09-05 09:41:00,4.03,Premium,727.36,598.4,45.99
Ancona,Firenze,2026-01-31 09:36:00,4.55,Express,243.3,183.3,47.04
Roma,Reggio Calabria,2026-07-27 14:36:00,9.99,Premium,606.04,499.5,50.92
Genova,Ancona,2026-03-24 10:22:00,2.4,Premium,459.23,377.4,51.19
Lecce,Bari,2026-01-30 20:28:00,1.9,Express,173.34,139.0,46.76
Ancona,Roma,2026-03-13 09:02:00,1.05,Premium,263.46,208.6,45.32
Roma,Pescara,2026-05-31 09:07:00,8.89,Premium,215.34,154.0,43.61
Cagliari,Ancona,2026-08-22 17:38:00,4.03,Express,700.43,611.3,50.07
Reggio Calabria,Torino,2026-07-08 11:00:00,4.12,Express,1151.94,1017.4,49.17
Roma,Ancona,2026-03-05 17:00:00,26.58,Premium,306.6,208.6,45.64
Sassari,Verona,2026-03-22 16:32:00,3.77,Express,657.33,559.6,41.59
Roma,Catania,2026-03-25 09:38:00,1.21,Express,631.31,536.0,43.32
Genova,Verona,2026-07-20 15:07:00,2.62,Express,264.15,198.5,47.73
Roma,Trapani,2026-05-22 14:30:00,1.52,Express,476.07,431.4,44.94
Sassari,Genova,2026-01-07 08:19:00,2.27,Express,475.14,410.3,46.53
Genova,Salerno,2026-01-21 17:41:00,2.26,Express,731.04,632.9,48.07
Bologna,Catania,2026-01-21 19:00:00,1.99,Express,976.21,837.3,43.47
Torino,Napoli,2026-09-20 20:15:00,1.13,Express,804.2,711.5,50.21
Bologna,Catania,2026-05-18 08:13:00,9.15,Premium,964.34,837.3,43.63
Perugia,Napoli,2026-05-15 09:29:00,3.7,Express,359.37,295.4,47.16
Catania,Torino,2026-07-27 18:33:00,2.56,Premium,1185.22,1042.5,51.49
Bologna,Milano,2026-02-21 11:15:00,5.1,Premium,236.58,200.6,46.64
Salerno,Bari,2026-01-09 15:45:00,4.17,Express,245.74,183.1,46.55
Bologna,Genova,2026-03-15 11:52:00,3.64,Express,227.72,191.5,48.19
Reggio Calabria,Salerno,2026-02-26 10:02:00,4.85,Express,353.45,295.6,43.89
Reggio Calabria,Palermo,2026-08-06 15:44:00,3.29,Premium,249.6,200.3,44.01
Bari,Perugia,2026-08-12 09:52:00,4.8,Express,511.16,430.6,49.72
Cagliari,Milano,2026-06-23 08:54:00,5.08,Express,798.19,693.9,49.96
Salerno,Firenze,2026-09-06 14:25:00,3.36,Express,514.29,449.4,44.67
Palermo,Perugia,2026-05-07 09:42:00,2.57,Express,658.4,560.9,47.1
Bologna,Pescara,2026-03-07 09:41:00,8.76,Premium,418.61,323.4,43.8
Verona,Torino,2026-04-01 17:55:00,2.15,Premium,338.31,261.5,52.79
Firenze,Pescara,2026-02-08 14:24:00,3.95,Express,318.9,280.9,46.66
Ancona,Verona,2026-09-03 14:35:00,4.01,Express,348.44,284.9,45.67
Trapani,Sassari,2026-06-14 09:00:00,1.96,Express,539.14,455.8,46.72
Ancona,Bari,2026-07-30 09:14:00,1.7,Express,458.87,391.1,49.07
Perugia,Lecce,2026-03-18 12:28:00,2.34,Express,653.8,569.2,44.14
Verona,Lecce,2026-07-16 12:26:00,2.13,Express,928.56,813.3,48.47
Perugia,Ancona,2026-04-01 13:19:00,1.08,Premium,144.55,107.5,45.92
Perugia,Cagliari,2026-05-02 08:52:00,1.9,Express,601.3,511.8,43.99
Lecce,Salerno,2026-06-27 19:34:00,3.61,Premium,350.71,289.7,44.16
Bologna,Lecce,2026-09-25 12:04:00,7.28,Express,852.38,725.0,44.89
Perugia,Bologna,2026-06-02 18:25:00,4.42,Express,209.85,175.1,45.0
Torino,Firenze,2026-07-13 12:36:00,0.49,Express,375.29,317.5,46.84
Bari,Firenze,2026-06-12 13:36:00,4.7,Express,634.56,547.1,44.82
Torino,Cagliari,2026-04-26 08:34:00,2.03,Express,768.98,661.1,46.94
Milano,Bologna,2026-09-12 16:28:00,4.12,Premium,241.96,200.6,47.17
Palermo,Salerno,2026-09-20 07:50:00,2.97,Premium,379.88,309.4,41.56
Cagliari,Sassari,2026-03-26 17:28:00,2.62,Premium,231.8,174.6,49.38
Pescara,Napoli,2026-09-02 19:20:00,2.79,Express,219.32,179.1,50.11
Cagliari,Pescara,2026-05-04 12:03:00,2.95,Express,631.03,559.4,47.35
Firenze,Trapani,2026-07-22 19:25:00,7.69,Express,761.31,648.5,47.99
Roma,Sassari,2026-05-22 16:46:00,2.96,Premium,404.59,353.8,45.41
Bari,Ancona,2026-07-29 07:02:00,6.41,Premium,485.18,391.1,46.8
Milano,Verona,2026-08-26 09:50:00,5.79,Express,203.2,140.4,43.97
Perugia,Bari,2026-04-26 15:58:00,4.79,Premium,523.93,430.6,46.08
Bologna,Ancona,2026-07-11 16:49:00,0.86,Express,252.9,199.3,46.43
Firenze,Milano,2026-05-19 08:18:00,6.56,Express,310.74,248.8,49.24
Genova,Roma,2026-08-07 16:35:00,2.18,Express,457.37,402.1,46.82
Reggio Calabria,Bari,2026-02-22 18:20:00,4.95,Express,395.23,350.6,46.86
Verona,Firenze,2026-07-19 08:17:00,1.52,Premium,237.81,186.8,48.63
Sassari,Firenze,2026-06-12 19:18:00,1.31,Premium,503.55,404.0,43.54
Cagliari,Lecce,2026-05-04 14:27:00,11.97,Express,895.77,783.1,48.47
Ancona,Verona,2026-04-11 15:37:00,1.54,Express,329.75,284.9,45.77
Bari,Genova,2026-07-11 07:42:00,6.69,Express,843.93,743.8,48.21
Perugia,Catania,2026-04-05 15:35:00,3.26,Express,758.69,663.3,42.46
Cagliari,Bologna,2026-01-09 13:21:00,2.24,Express,714.55,614.1,49.82
Catania,Cagliari,2026-09-16 12:12:00,2.91,Express,620.53,554.0,46.99
Sassari,Bologna,2026-05-03 17:55:00,1.21,Express,542.13,475.9,44.37
Torino,Perugia,2026-02-14 10:29:00,2.97,Express,514.48,433.9,51.64
Sassari,Milano,2026-03-03 07:50:00,1.41,Express,612.59,528.4,44.61
Firenze,Napoli,2026-08-15 13:59:00,2.27,Premium,474.93,408.7,51.75
Pescara,Sassari,2026-04-01 17:24:00,5.73,Express,617.63,507.6,46.98
Pescara,Perugia,2026-03-18 08:52:00,3.58,Express,203.24,165.2,51.58
Cagliari,Trapani,2026-05-14 20:47:00,1.06,Express,388.76,325.7,48.91
Perugia,Lecce,2026-01-08 16:24:00,5.44,Express,655.94,569.2,44.01
Palermo,Genova,2026-06-02 20:04:00,2.99,Express,905.52,791.1,45.65
Lecce,Sassari,2026-01-12 13:34:00,2.05,Express,898.27,812.8,45.23
Salerno,Genova,2026-08-17 08:43:00,5.06,Premium,743.19,632.9,48.53
Reggio Calabria,Bologna,2026-04-28 09:29:00,2.67,Premium,930.0,795.3,46.78
Palermo,Roma,2026-03-01 14:00:00,1.33,Express,488.41,426.6,39.92
Roma,Milano,2026-05-05 15:14:00,10.94,Express,574.88,476.9,45.76
Salerno,Bari,2026-02-17 17:16:00,2.96,Premium,255.16,183.1,47.05
Perugia,Reggio Calabria,2026-03-29 18:08:00,2.83,Express,708.79,620.2,49.98
Firenze,Catania,2026-02-05 17:40:00,2.26,Express,892.48,767.6,46.58
Salerno,Torino,2026-07-02 15:14:00,6.85,Express,855.48,755.2,48.71
Roma,Sassari,2026-09-24 07:15:00,2.08,Express,412.77,353.8,44.99
Verona,Lecce,2026-05-13 14:24:00,1.02,Express,927.73,813.3,48.52
Bologna,Perugia,2026-01-27 18:28:00,1.87,Express,216.96,175.1,49.69
Milano,Perugia,2026-01-21 18:52:00,7.59,Express,452.66,364.9,50.2
Trapani,Reggio Calabria,2026-08-16 18:40:00,5.37,Express,330.71,272.4,52.38
Palermo,Bari,2026-04-06 07:09:00,2.51,Express,512.83,449.0,44.11
Trapani,Genova,2026-03-22 13:05:00,7.85,Premium,896.43,771.8,50.02
Ancona,Cagliari,2026-01-28 15:38:00,5.06,Express,694.49,611.3,47.18
Ancona,Reggio Calabria,2026-07-01 10:27:00,2.49,Express,720.05,638.3,53.31
Salerno,Bari,2026-01-18 12:44:00,2.67,Express,230.92,183.1,46.61
Lecce,Palermo,2026-09-04 08:21:00,3.78,Express,571.09,482.7,43.3
Palermo,Roma,2026-02-26 09:42:00,1.68,Express,490.03,426.6,39.9
Milano,Trapani,2026-01-19 07:04:00,3.01,Express,998.54,872.5,45.8
Milano,Firenze,2026-07-11 20:42:00,3.72,Express,290.94,248.8,45.45
Trapani,Ancona,2026-04-07 19:02:00,0.92,Express,713.25,628.1,47.97
Bari,Roma,2026-07-10 12:39:00,2.63,Premium,417.45,374.0,43.03
Salerno,Ancona,2026-01-11 07:03:00,2.43,Premium,413.52,342.8,46.76
Torino,Bari,2026-08-24 11:41:00,6.16,Express,977.07,864.4,48.52
Reggio Calabria,Verona,2026-03-26 13:04:00,0.82,Express,1006.59,901.6,43.73
Lecce,Torino,2026-07-26 09:21:00,2.3,Premium,1156.42,1003.1,49.47
Cagliari,Roma,2026-09-13 16:15:00,2.14,Express,482.76,412.6,46.22
Reggio Calabria,Sassari,2026-05-27 20:58:00,5.87,Premium,773.75,674.8,45.77
Napoli,Bari,2026-04-02 18:48:00,2.91,Express,286.26,220.3,52.84
Bologna,Bari,2026-03-27 18:59:00,10.55,Express,715.74,586.2,46.34
Lecce,Genova,2026-07-07 18:37:00,4.77,Premium,1035.93,882.3,48.66
Verona,Ancona,2026-01-02 07:58:00,2.25,Express,347.82,284.9,49.74
Firenze,Torino,2026-02-10 14:43:00,3.55,Express,377.24,317.5,52.03
Cagliari,Bari,2026-06-26 14:55:00,2.34,Express,783.15,691.3,50.45
Reggio Calabria,Palermo,2026-01-08 08:24:00,5.47,Express,258.25,200.3,43.46
Cagliari,Torino,2026-03-21 09:03:00,1.18,Premium,772.68,661.1,53.23
Trapani,Roma,2026-06-26 14:54:00,1.69,Premium,492.35,431.4,44.47
Torino,Catania,2026-03-10 17:01:00,4.13,Express,1184.86,1042.5,45.37
Verona,Napoli,2026-09-12 09:55:00,7.08,Express,660.75,575.5,51.34
Trapani,Palermo,2026-09-24 13:46:00,0.64,Express,100.02,72.6,44.92
Catania,Salerno,2026-01-10 08:03:00,7.85,Express,430.46,353.6,45.56
Catania,Milano,2026-02-17 08:32:00,2.72,Express,1148.6,1010.7,48.37
Genova,Firenze,2026-09-05 15:07:00,0.8,Express,242.93,198.5,49.2
Napoli,Salerno,2026-01-09 14:47:00,0.37,Premium,64.39,46.2,50.42
Torino,Reggio Calabria,2026-05-13 17:30:00,1.03,Express,1153.06,1017.4,53.0
Roma,Napoli,2026-09-17 19:44:00,2.96,Express,249.42,188.3,47.97
Pescara,Ancona,2026-06-10 09:39:00,2.86,Express,197.85,140.6,48.31
Torino,Palermo,2026-03-25 11:46:00,4.67,Express,1020.31,904.7,45.2
Pescara,Torino,2026-01-02 18:58:00,2.04,Express,698.23,598.4,50.93
Lecce,Verona,2026-04-18 07:42:00,1.38,Express,910.92,813.3,43.47
Milano,Salerno,2026-05-28 18:35:00,2.25,Express,805.15,698.2,44.44
Palermo,Cagliari,2026-01-23 20:13:00,3.07,Premium,459.98,387.8,42.79
Bari,Perugia,2026-05-25 08:23:00,3.53,Express,517.37,430.6,49.77
Roma,Sassari,2026-04-21 08:59:00,1.73,Express,426.88,353.8,45.01
Reggio Calabria,Trapani,2026-03-30 16:34:00,5.64,Premium,336.9,272.4,45.7
Roma,Bari,2026-09-23 13:39:00,1.94,Express,423.71,374.0,46.52
Palermo,Firenze,2026-09-01 20:49:00,1.63,Premium,754.55,652.7,42.69
Salerno,Napoli,2026-07-09 14:37:00,2.05,Express,75.87,46.2,48.12
Trapani,Bari,2026-06-11 16:10:00,6.37,Express,595.11,506.4,48.06
Perugia,Torino,2026-05-10 10:19:00,2.73,Express,492.06,433.9,47.98
Milano,Bologna,2026-01-20 11:32:00,1.84,Express,250.78,200.6,46.8
Bologna,Reggio Calabria,2026-03-25 09:29:00,5.74,Premium,914.06,795.3,51.27
Salerno,Trapani,2026-01-03 09:03:00,13.44,Express,432.48,352.5,44.57
Trapani,Reggio Calabria,2026-04-10 08:35:00,3.47,Premium,340.16,272.4,52.91
Reggio Calabria,Salerno,2026-05-10 19:29:00,7.12,Premium,358.5,295.6,44.25
Torino,Firenze,2026-06-16 07:58:00,6.2,Premium,382.17,317.5,47.06
Torino,Sassari,2026-04-07 14:13:00,1.96,Premium,570.1,487.8,47.63
Salerno,Milano,2026-03-11 14:06:00,3.06,Express,778.08,698.2,46.21
Palermo,Bari,2026-07-13 07:46:00,1.22,Express,512.76,449.0,44.16
Bari,Lecce,2026-02-11 18:47:00,2.6,Premium,175.89,139.0,45.69
Ancona,Genova,2026-02-04 14:00:00,1.94,Express,458.61,377.4,50.63
Catania,Palermo,2026-07-10 08:46:00,2.26,Express,218.42,166.4,45.39
Milano,Firenze,2026-06-09 08:48:00,1.77,Express,308.34,248.8,45.53
Roma,Napoli,2026-08-26 16:48:00,2.45,Express,231.17,188.3,47.99
Napoli,Milano,2026-07-21 15:40:00,4.35,Premium,766.03,657.4,52.85
Ancona,Genova,2026-09-04 12:46:00,2.76,Express,449.21,377.4,50.59
Catania,Reggio Calabria,2026-07-01 12:40:00,0.81,Express,93.68,82.9,53.1
Verona,Genova,2026-08-18 07:29:00,1.78,Premium,259.37,198.5,52.1
Verona,Salerno,2026-02-16 07:26:00,1.04,Express,709.75,611.8,47.12
Lecce,Firenze,2026-05-25 14:30:00,3.56,Premium,789.8,685.9,45.23
Sassari,Torino,2026-09-15 12:05:00,4.27,Express,563.16,487.8,47.15
Roma,Lecce,2026-08-04 10:31:00,3.59,Express,551.59,505.1,44.86
Trapani,Ancona,2026-04-21 12:18:00,1.73,Express,704.06,628.1,47.94
Torino,Bologna,2026-09-10 15:28:00,3.57,Express,354.53,295.2,47.99
Pescara,Sassari,2026-03-27 11:06:00,2.16,Express,595.21,507.6,47.13
Lecce,Torino,2026-01-07 11:53:00,1.35,Express,1139.89,1003.1,49.05
Pescara,Catania,2026-08-06 10:57:00,5.04,Express,640.01,555.5,45.3
Genova,Pescara,2026-04-23 16:19:00,5.32,Express,574.54,478.2,47.86
Genova,Perugia,2026-01-10 07:46:00,5.83,Express,379.78,313.2,53.9
Pescara,Bologna,2026-02-25 19:51:00,1.96,Express,386.28,323.4,48.02
Perugia,Napoli,2026-01-20 14:45:00,6.85,Premium,383.37,295.4,47.48
Perugia,Reggio Calabria,2026-09-30 10:25:00,2.12,Premium,704.35,620.2,50.46
Lecce,Verona,2026-08-20 17:37:00,4.74,Express,924.03,813.3,43.33
Milano,Sassari,2026-09-11 20:09:00,2.1,Express,602.08,528.4,45.91
Ancona,Bari,2026-02-19 07:48:00,2.56,Express,446.82,391.1,49.03
Pescara,Catania,2026-08-07 09:51:00,0.55,Express,642.38,555.5,45.49
Perugia,Milano,2026-06-03 09:00:00,2.43,Premium,452.03,364.9,45.79
Trapani,Cagliari,2026-03-22 07:59:00,3.2,Premium,386.32,325.7,46.9
Palermo,Perugia,2026-07-02 17:20:00,2.25,Express,654.47,560.9,47.11
Napoli,Ancona,2026-09-17 09:41:00,10.26,Express,393.02,314.1,52.22
Bari,Bologna,2026-05-06 12:22:00,1.33,Premium,653.24,586.2,46.69
Cagliari,Ancona,2026-01-08 18:24:00,2.02,Express,695.14,611.3,50.15
Genova,Firenze,2026-08-18 15:33:00,1.59,Express,235.06,198.5,49.17
Lecce,Salerno,2026-02-21 16:29:00,2.02,Express,329.52,289.7,43.77
Lecce,Cagliari,2026-02-19 08:22:00,6.18,Express,905.04,783.1,44.83
Lecce,Verona,2026-06-18 20:35:00,8.44,Express,946.34,813.3,43.18
Salerno,Firenze,2026-08-07 08:09:00,1.84,Express,529.37,449.4,44.73
Bologna,Ancona,2026-08-05 16:56:00,1.81,Express,226.89,199.3,46.39
Genova,Milano,2026-08-25 15:57:00,1.33,Express,141.77,118.5,50.71
Cagliari,Roma,2026-08-30 12:46:00,7.49,Premium,506.84,412.6,46.46
Genova,Bologna,2026-02-05 18:44:00,6.58,Premium,272.97,191.5,50.7
Reggio Calabria,Bari,2026-03-24 19:29:00,2.79,Express,427.72,350.6,46.95
Ancona,Sassari,2026-07-16 07:59:00,1.13,Express,579.59,519.8,47.57
Genova,Perugia,2026-04-17 20:24:00,1.2,Premium,375.85,313.2,54.55
Ancona,Genova,2026-07-15 10:22:00,3.38,Premium,451.19,377.4,51.02
Verona,Salerno,2026-05-05 18:04:00,4.41,Express,714.6,611.8,46.98
Roma,Sassari,2026-05-04 18:29:00,0.71,Express,416.48,353.8,45.05
Catania,Lecce,2026-01-08 14:47:00,2.4,Express,474.98,413.1,47.18
Cagliari,Perugia,2026-06-16 19:05:00,9.31,Premium,611.22,511.8,53.61
Bari,Ancona,2026-08-24 18:33:00,2.58,Express,454.98,391.1,46.5
Napoli,Genova,2026-08-12 14:19:00,8.51,Express,697.2,589.3,54.17
Salerno,Perugia,2026-04-03 09:30:00,4.73,Premium,422.42,334.4,49.97
Perugia,Cagliari,2026-07-04 13:05:00,1.4,Express,580.9,511.8,44.01
Torino,Verona,2026-02-24 19:36:00,2.44,Premium,332.79,261.5,45.82
Genova,Verona,2026-06-22 09:50:00,2.74,Express,256.6,198.5,47.73
Firenze,Milano,2026-04-22 20:59:00,1.54,Express,318.16,248.8,49.45
Napoli,Lecce,2026-09-10 09:32:00,1.52,Premium,417.0,333.9,51.76
Catania,Cagliari,2026-07-13 16:18:00,8.61,Premium,659.82,554.0,47.21
Verona,Palermo,2026-01-21 15:58:00,1.51,Premium,955.9,837.2,47.16
Cagliari,Bologna,2026-08-26 09:44:00,6.38,Premium,722.56,614.1,50.1
Napoli,Lecce,2026-07-17 13:36:00,2.21,Express,404.14,333.9,51.28
Palermo,Perugia,2026-02-28 09:01:00,2.95,Express,659.12,560.9,47.08
Bari,Pescara,2026-03-19 12:06:00,4.45,Express,310.08,266.1,43.67
Napoli,Perugia,2026-02-17 20:25:00,1.97,Premium,358.77,295.4,56.33
Napoli,Catania,2026-03-26 07:45:00,4.46,Express,451.12,378.1,49.54
Firenze,Salerno,2026-09-15 19:11:00,0.72,Premium,514.48,449.4,47.34
Bologna,Reggio Calabria,2026-09-04 16:29:00,4.08,Premium,903.52,795.3,51.34
Ancona,Salerno,2026-05-31 17:28:00,0.53,Premium,417.26,342.8,46.59
Ancona,Napoli,2026-04-09 10:56:00,2.56,Premium,356.63,314.1,50.98
Napoli,Torino,2026-04-10 20:17:00,5.46,Express,797.13,711.5,55.01
Bari,Lecce,2026-09-19 10:32:00,4.64,Express,171.73,139.0,45.14
Verona,Sassari,2026-02-24 14:02:00,1.21,Premium,651.51,559.6,49.03
Catania,Lecce,2026-07-26 07:30:00,1.32,Express,479.36,413.1,47.22
Reggio Calabria,Catania,2026-09-29 19:25:00,1.85,Express,138.7,82.9,43.76
Reggio Calabria,Palermo,2026-08-22 16:51:00,3.42,Premium,248.55,200.3,44.0
Napoli,Perugia,2026-07-16 09:16:00,0.72,Express,353.63,295.4,55.92
Torino,Roma,2026-09-03 16:16:00,2.97,Express,589.69,524.1,44.41
Bologna,Firenze,2026-03-01 09:33:00,3.73,Express,116.06,80.4,44.71
Catania,Torino,2026-09-26 13:13:00,2.46,Express,1182.12,1042.5,51.04
Firenze,Genova,2026-01-25 14:10:00,4.33,Premium,254.55,198.5,51.74
Bologna,Palermo,2026-01-04 20:02:00,3.51,Express,829.87,728.1,43.25
Firenze,Trapani,2026-02-24 11:39:00,2.05,Express,745.07,648.5,48.22
Genova,Palermo,2026-06-16 07:10:00,0.77,Express,908.89,791.1,47.74
Salerno,Reggio Calabria,2026-03-09 13:03:00,3.29,Premium,357.13,295.6,51.32
Genova,Trapani,2026-06-22 19:58:00,1.54,Premium,908.57,771.8,49.95
Torino,Verona,2026-01-31 18:10:00,2.0,Express,311.34,261.5,45.38
Salerno,Napoli,2026-07-10 07:49:00,4.2,Express,72.85,46.2,48.04
Trapani,Milano,2026-03-04 07:44:00,8.09,Express,992.79,872.5,47.61
Bologna,Cagliari,2026-05-23 17:35:00,2.92,Express,719.64,614.1,44.9
Verona,Palermo,2026-02-01 17:05:00,4.42,Express,951.74,837.2,46.58
Pescara,Trapani,2026-09-22 14:48:00,1.09,Express,585.11,513.6,47.1
Verona,Napoli,2026-04-14 08:14:00,3.56,Express,654.15,575.5,51.49
Lecce,Genova,2026-06-15 10:55:00,2.88,Express,1006.58,882.3,48.28
Verona,Bologna,2026-05-13 18:51:00,7.09,Express,172.4,109.2,49.22
Perugia,Lecce,2026-06-12 08:57:00,2.06,Express,672.66,569.2,44.15
Bari,Catania,2026-05-05 09:49:00,2.53,Express,517.26,429.6,43.59
Milano,Verona,2026-01-20 13:19:00,6.3,Express,189.87,140.4,43.95
Bologna,Palermo,2026-08-15 17:17:00,2.81,Express,845.17,728.1,43.28
Trapani,Bologna,2026-06-25 18:35:00,1.38,Express,843.29,726.4,47.63
Genova,Bari,2026-03-11 15:17:00,17.9,Premium,883.08,743.8,50.86
Catania,Torino,2026-01-23 13:53:00,1.41,Express,1169.91,1042.5,51.08
Perugia,Trapani,2026-08-31 12:23:00,2.87,Premium,654.33,566.1,44.56
Milano,Salerno,2026-04-01 07:36:00,3.82,Express,798.18,698.2,44.38
Bari,Bologna,2026-09-05 10:44:00,3.62,Express,666.44,586.2,46.14
Sassari,Bari,2026-07-29 10:00:00,2.63,Express,781.22,699.2,44.95
Sassari,Cagliari,2026-09-20 07:48:00,2.64,Express,198.56,174.6,43.19
Roma,Salerno,2026-06-30 17:25:00,2.55,Premium,300.2,233.2,43.97
Pescara,Salerno,2026-02-19 11:56:00,1.37,Premium,260.04,203.3,46.16
Milano,Sassari,2026-01-10 14:08:00,13.51,Express,620.5,528.4,45.44
Palermo,Bari,2026-03-09 09:48:00,2.57,Premium,565.38,449.0,44.56
Palermo,Cagliari,2026-04-30 15:16:00,4.56,Express,444.58,387.8,42.27
Cagliari,Trapani,2026-06-20 08:54:00,2.37,Premium,401.87,325.7,49.31
Bari,Trapani,2026-09-02 16:29:00,2.34,Premium,602.09,506.4,45.69
Firenze,Roma,2026-02-08 17:20:00,2.18,Express,296.22,231.6,45.57
Napoli,Bologna,2026-06-23 11:21:00,1.01,Premium,553.56,470.2,52.74
Cagliari,Bari,2026-01-24 09:58:00,2.68,Premium,814.8,691.3,50.89
Bologna,Bari,2026-05-12 17:55:00,2.26,Premium,690.31,586.2,47.14
